year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2031,baseline,FSWCondomUsage,2050,10,80.88073328501031,81.1984501339161,80.56301643610453
2031,baseline,HIVinc15to49,2050,10,0.0035472200000000002,0.003588925,0.003505515
2031,baseline,NewAdultHIV,2050,10,131325.5,133227.875,129423.125
2031,baseline,SWsexActs,2050,10,133733500,133771975,133695025
2031,baseline,SWsexActsProt,2050,10,108164500,108558275,107770725
2031,baseline,TotalAIDSdeathsadult,2050,10,43298.45,43321.3925,43275.5075
2031,baseline,TotalHIVtests,2050,10,19842950,21699107.500000004,17986792.499999996
2031,baseline,TotProtSexActs,2050,10,203796500,207811675,199781325
2031,baseline,TotSexActs,2050,10,624498000,634330500,614665500
2031,intervention,AIDSdeathsAdultF,2050,10,21377.6,21707.914999999997,21047.285000000003
2031,intervention,AIDSdeathsAdultM,2050,10,22112.1,22388.645,21835.555
2031,intervention,ARTcoverageAdult,2050,10,0.7597514999999999,0.761599725,0.757903275
2031,intervention,CondomUsage,2050,10,32.631099898086646,32.760304734997966,32.50189506117533
2031,intervention,FSWCondomUsage,2050,10,80.88030438134547,81.19802823425167,80.56258052843926
2031,intervention,HIVinc15to49,2050,10,0.00358598,0.0036304875,0.0035414725
2031,intervention,NewAdultHIV,2050,10,132546,134540.05,130551.95
2031,intervention,SWsexActs,2050,10,133730500,133768975,133692025
2031,intervention,SWsexActsProt,2050,10,108161500,108555275,107767725
2031,intervention,TotalAIDSdeathsadult,2050,10,43489.700000000004,43543.47000000001,43435.93
2031,intervention,TotalHIVtests,2050,10,14193350,15424502.5,12962197.5
2031,intervention,TotProtSexActs,2050,10,203793500,207808675,199778325
2031,intervention,TotSexActs,2050,10,624494500,634326525,614662475
2032,baseline,AIDSdeathsAdultF,2050,10,21372.45,21698.822500000002,21046.0775
2032,baseline,AIDSdeathsAdultM,2050,10,21873.75,22155.092500000002,21592.407499999998
2032,baseline,ARTcoverageAdult,2050,10,0.7625649999999999,0.76437285,0.76075715
2032,baseline,CondomUsage,2050,10,32.71574322057721,32.8427628522749,32.58872358887951
2032,baseline,FSWCondomUsage,2050,10,80.88043473178831,81.19835379329247,80.56251567028416
2032,baseline,HIVinc15to49,2050,10,0.003354,0.003398555,0.0033094450000000003
2032,baseline,NewAdultHIV,2050,10,126821,128805.55,124836.45
2032,baseline,SWsexActs,2050,10,135549000,135583200,135514800
2032,baseline,SWsexActsProt,2050,10,109632500,110035775,109229225
2032,baseline,TotalAIDSdeathsadult,2050,10,43246.2,43291.229999999996,43201.170000000006
2032,baseline,TotalHIVtests,2050,10,20138500,22025580.000000004,18251419.999999996
2032,baseline,TotProtSexActs,2050,10,206104500,210189025,202019975
2032,baseline,TotSexActs,2050,10,629942500,639981625,619903375
2032,intervention,AIDSdeathsAdultF,2050,10,21601.6,21954.145,21249.055
2032,intervention,AIDSdeathsAdultM,2050,10,22217.300000000003,22437.32,21997.28
2032,intervention,ARTcoverageAdult,2050,10,0.7597735,0.761425075,0.758121925
2032,intervention,CondomUsage,2050,10,32.7144040761029,32.841345905417505,32.5874622467883
2032,intervention,FSWCondomUsage,2050,10,80.88025490389185,81.19794576067868,80.56256404710503
2032,intervention,HIVinc15to49,2050,10,0.003434945,0.0034849102500000002,0.00338497975
2032,intervention,NewAdultHIV,2050,10,129383,131543.3,127222.7
2032,intervention,SWsexActs,2050,10,135532000,135568100,135495900
2032,intervention,SWsexActsProt,2050,10,109618500,110019875,109217125
2032,intervention,TotalAIDSdeathsadult,2050,10,43818.9,43951.424999999996,43686.37500000001
2032,intervention,TotalHIVtests,2050,10,13544050,14712312.5,12375787.5
2032,intervention,TotProtSexActs,2050,10,206090000,210173100,202006900
2032,intervention,TotSexActs,2050,10,629924000,639960750,619887250
2033,baseline,AIDSdeathsAdultF,2050,10,21436.800000000003,21768.73,21104.870000000003
2033,baseline,AIDSdeathsAdultM,2050,10,21747,22013.855,21480.145
2033,baseline,ARTcoverageAdult,2050,10,0.764405,0.7661264000000001,0.7626835999999999
